guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,,,,,Fin Aid $0,"Fin Aid $3,000","Fin Aid $10,000"
6113f933-6ce0-48d8-9279-d2c2890ec43b,FTT,Construction Engineering Technology,10500,17.74596283,20.95672544,31.42965427,,,,,0.1774596283,0.2095672544,0.3142965427
00835a7b-5ef8-4fb9-ba9e-0441ed6612c2,FTT,Creative Writing,0,NA,NA,NA,,,,,NA,NA,NA
d1ae263a-46cb-4fd5-acb3-5e4802b6d4e9,FTT,Creative Writing,4500,NA,NA,NA,,,,,NA,NA,NA
f454f9de-46af-408d-9f60-0dc6ab62b041,FTT,Creative Writing,10500,NA,NA,NA,,,,,NA,NA,NA
7db9d03c-24fd-4e64-a7a2-00841a7d574f,FTT,Criminal Justice,0,5.620987507,7.166477616,11.61353454,,,,,0.05620987507,0.07166477616,0.1161353454
a7dc9c97-0c96-4382-93dc-77b78d1fe332,FTT,Criminal Justice,4500,8.002614397,9.846112864,15.59971454,,,,,0.08002614397,0.09846112864,0.1559971454
231b7723-cab8-4c71-a65a-bea5e6435040,FTT,Criminal Justice,10500,11.99897375,14.59951315,23.86644266,,,,,0.1199897375,0.1459951315,0.2386644266
66369bb3-98a2-4f3a-a57d-6d62d3dc85cf,FTT,Cultural Resources Management,0,NA,NA,NA,,,,,NA,NA,NA
130a8308-82bc-49b6-83ff-60e1fc4d6ca5,FTT,Cultural Resources Management,4500,NA,NA,NA,,,,,NA,NA,NA
382d411a-f101-4a99-bd70-6f44104bbb90,FTT,Cultural Resources Management,10500,NA,NA,NA,,,,,NA,NA,NA
46112622-e3f3-48f4-953c-4b2fd40d95c4,FTT,Dance,0,NA,NA,NA,,,,,NA,NA,NA
277364f3-988e-4e83-a042-7ea4d25c097f,FTT,Dance,4500,NA,NA,NA,,,,,NA,NA,NA
ed5d5546-8c0a-47af-8592-2ef5cb846fcd,FTT,Dance,10500,NA,NA,NA,,,,,NA,NA,NA
d2bb5d68-7902-45df-ba82-a8e62da9e5a5,FTT,Dance - Performance,0,5.007527987,6.41503897,10.3355256,,,,,0.05007527987,0.0641503897,0.103355256
4b072c30-1840-4d2a-97b6-6357598d8071,FTT,Dance - Performance,4500,7.16674921,8.799859357,13.7077456,,,,,0.0716674921,0.08799859357,0.137077456
752a46ec-010e-4f9e-9352-b034dbc1c1e4,FTT,Dance - Performance,10500,10.66677327,12.87168812,20.50111784,,,,,0.1066677327,0.1287168812,0.2050111784
021a28bf-9f18-40a3-b0cd-357a28d2743d,FTT,Deaf Studies,0,5.813482222,7.813423258,15.0128672,,,,,0.05813482222,0.07813423258,0.150128672
9760208a-6bf1-4e57-a19a-2f17e9b940fd,FTT,Deaf Studies,4500,8.976739429,11.81552652,24.75123807,,,,,0.08976739429,0.1181552652,0.2475123807
557765bf-b037-4a22-8afa-705fa0d7c1e5,FTT,Deaf Studies,10500,15.78786049,21.91825339,64.3220597,,,,,0.1578786049,0.2191825339,0.643220597
8f683ab8-44cb-4463-bd4c-8b454b62def9,FTT,Design,0,6.64745614,8.512996405,14.44437665,,,,,0.0664745614,0.08512996405,0.1444437665
2042c3f7-19ae-48b0-ae3f-aaecbd020491,FTT,Design,4500,9.5586609,11.97079916,20.74853716,,,,,0.095586609,0.1197079916,0.2074853716
87b2104e-9b22-45d4-8ed5-91f37f86f354,FTT,Design,10500,15.00749528,19.05981132,38.62617253,,,,,0.1500749528,0.1905981132,0.3862617253
