Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,1,FTF + FTT,05091,05091,Marketing,Educational Services,54,45249,47955,30,43473,42929
70,1,FTF + FTT,05091,05091,Marketing,Health Care & Social Assistance,74,31903,36308,27,32136,42036
70,1,FTF + FTT,05091,05091,Marketing,"Arts, Entertainment, & Recreation",34,45812,45887,10,42511,46375
70,1,FTF + FTT,05091,05091,Marketing,Accommodation & Food Services,69,31948,34191,18,45555,62238
70,1,FTF + FTT,05091,05091,Marketing,Other Services,30,46011,47277,15,59293,60616
70,1,FTF + FTT,05091,05091,Marketing,Non-Classified,,,,,,
70,1,FTF + FTT,05091,05091,Marketing,Government,38,53448,61458,17,74807,81354
70,1,FTF + FTT,05091,05091,Marketing,Wages - No NAICS Code,92,8322,18142,28,8761,28562
70,1,FTF + FTT,05111,05111,Real Estate,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
70,1,FTF + FTT,05111,05111,Real Estate,Mining,,,,,,
70,1,FTF + FTT,05111,05111,Real Estate,Utilities,,,,,,
70,1,FTF + FTT,05111,05111,Real Estate,Construction,8,43024,44096,,,
70,1,FTF + FTT,05111,05111,Real Estate,Manufacturing,8,67431,69900,,,
70,1,FTF + FTT,05111,05111,Real Estate,Wholesale Trade,7,69578,57204,,,
70,1,FTF + FTT,05111,05111,Real Estate,Retail Trade,17,51933,61542,6,70048,111081
70,1,FTF + FTT,05111,05111,Real Estate,Transportation & Warehousing,,,,,,
70,1,FTF + FTT,05111,05111,Real Estate,Information,12,46517,49329,6,58052,73537
70,1,FTF + FTT,05111,05111,Real Estate,Finance & Insurance,55,53153,63993,15,68110,67217
70,1,FTF + FTT,05111,05111,Real Estate,Real Estate & Rental & Leasing,24,43529,54363,11,67383,66415
70,1,FTF + FTT,05111,05111,Real Estate,"Professional, Scientific, & Technical Skills",19,35373,47483,5,66790,75209
70,1,FTF + FTT,05111,05111,Real Estate,Admin & Support & Waste Mgmt & Remediation,13,31495,30901,,,
70,1,FTF + FTT,05111,05111,Real Estate,Educational Services,7,42570,38158,,,
70,1,FTF + FTT,05111,05111,Real Estate,Health Care & Social Assistance,8,32205,35486,,,
70,1,FTF + FTT,05111,05111,Real Estate,"Arts, Entertainment, & Recreation",,,,,,
70,1,FTF + FTT,05111,05111,Real Estate,Accommodation & Food Services,11,34352,29763,,,
70,1,FTF + FTT,05111,05111,Real Estate,Other Services,7,50445,53679,,,
70,1,FTF + FTT,05111,05111,Real Estate,Government,9,59423,64268,,,
70,1,FTF + FTT,05111,05111,Real Estate,Wages - No NAICS Code,15,12502,21469,,,
70,1,FTF + FTT,05131,05131,International Business,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
70,1,FTF + FTT,05131,05131,International Business,Construction,,,,,,
70,1,FTF + FTT,05131,05131,International Business,Manufacturing,10,57501,56654,8,61392,63485
70,1,FTF + FTT,05131,05131,International Business,Wholesale Trade,8,61659,63309,,,
70,1,FTF + FTT,05131,05131,International Business,Retail Trade,7,43534,41799,8,74651,63135
70,1,FTF + FTT,05131,05131,International Business,Transportation & Warehousing,,,,,,
70,1,FTF + FTT,05131,05131,International Business,Information,8,61263,60383,9,75912,80750
70,1,FTF + FTT,05131,05131,International Business,Finance & Insurance,31,60619,64465,12,60214,70232
70,1,FTF + FTT,05131,05131,International Business,Real Estate & Rental & Leasing,,,,5,66032,73037
70,1,FTF + FTT,05131,05131,International Business,"Professional, Scientific, & Technical Skills",18,54513,55162,5,64726,77215
70,1,FTF + FTT,05131,05131,International Business,Management of Companies & Enterprises,,,,,,
70,1,FTF + FTT,05131,05131,International Business,Admin & Support & Waste Mgmt & Remediation,10,46022,41208,6,39256,36414
70,1,FTF + FTT,05131,05131,International Business,Educational Services,,,,,,
70,1,FTF + FTT,05131,05131,International Business,Health Care & Social Assistance,,,,7,37848,40644
70,1,FTF + FTT,05131,05131,International Business,"Arts, Entertainment, & Recreation",,,,,,
70,1,FTF + FTT,05131,05131,International Business,Accommodation & Food Services,,,,,,
70,1,FTF + FTT,05131,05131,International Business,Other Services,,,,,,
70,1,FTF + FTT,05131,05131,International Business,Non-Classified,,,,,,
70,1,FTF + FTT,05131,05131,International Business,Government,9,49211,50122,8,64077,66922
70,1,FTF + FTT,05131,05131,International Business,Wages - No NAICS Code,5,4785,4510,5,2164,2763
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Construction,,,,,,
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Manufacturing,7,43189,55086,,,
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Wholesale Trade,,,,,,
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Retail Trade,11,75519,67743,6,61286,71561
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Transportation & Warehousing,,,,,,
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Information,5,57675,57695,,,
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Finance & Insurance,32,54187,52344,9,72172,74358
70,1,FTF + FTT,05151,05151,Human Resources/Personnel Management,Real Estate & Rental & Leasing,7,45207,51056,,,
