Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Manufacturing,18,45599,44936,7,53790,59477
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Wholesale Trade,12,37249,43167,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Retail Trade,38,30911,32266,15,40594,40293
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Transportation & Warehousing,,,,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Information,10,61281,56681,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Finance & Insurance,28,42964,43965,11,62089,55360
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Real Estate & Rental & Leasing,7,23954,28581,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,"Professional, Scientific, & Technical Skills",17,51888,52927,7,73603,74642
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Admin & Support & Waste Mgmt & Remediation,18,44082,43470,8,35737,60096
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Educational Services,250,37937,35983,94,53631,47278
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Health Care & Social Assistance,66,29800,29659,21,33066,30514
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,"Arts, Entertainment, & Recreation",5,22075,23106,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Accommodation & Food Services,23,19905,24852,10,28819,26337
