Campus,Location,Student Path,Entry Stat,HEGIS at ExitOLD,HEGIS at Exit,Major,industry,# of Students Found,Median Annual Earnings,Average Annual Earnings,# of Students Found,Median Annual Earnings,Average Annual Earnings
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Information,8,"$63,395 ","$57,952 ",6,"$59,133 ","$79,015 "
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,"Professional, Scientific, & Technical Skills",5,"$65,607 ","$61,672 ",,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Educational Services,6,"$44,308 ","$46,148 ",5,"$41,823 ","$43,868 "
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,No Wages,67,,,80,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Retail Trade,5,"$24,752 ","$35,062 ",,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Information,7,"$16,092 ","$22,488 ",5,"$5,993 ","$14,818 "
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Admin & Support & Waste Mgmt & Remediation,6,"$19,230 ","$20,451 ",,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Educational Services,9,"$45,222 ","$39,626 ",7,"$66,716 ","$58,214 "
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,"Arts, Entertainment, & Recreation",6,"$17,775 ","$21,260 ",,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Accommodation & Food Services,5,"$16,320 ","$20,000 ",,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,Government,5,"$7,720 ","$16,304 ",,,
55,Dominguez Hills,1,FTF + FTT,10071,10071,Theatre Arts,No Wages,66,,,108,,
