Campus,Location,Student Path,Entry Stat,HEGIS at Exit,Industry,# of Students Found 5 years after exit,Median Annual Earnings 5 years after exit,Average Annual Earnings 5 years after exit,# of Students Found 10 years after exit,Median Annual Earnings 10 years after exit,Average Annual Earnings 10 years after exit
55,Dominguez Hills,1,FTF + FTT,11051,Wages - No NAICS Code,12,"$4,476","$7,623",,,
55,Dominguez Hills,1,FTF + FTT,12011,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,Manufacturing,17,"$58,849","$58,270",7,"$88,736","$83,770"
55,Dominguez Hills,1,FTF + FTT,12011,Wholesale Trade,7,"$60,292","$63,606",,,
55,Dominguez Hills,1,FTF + FTT,12011,Retail Trade,19,"$40,168","$42,633",5,"$40,213","$48,191"
55,Dominguez Hills,1,FTF + FTT,12011,Transportation & Warehousing,7,"$40,038","$48,909",,,
55,Dominguez Hills,1,FTF + FTT,12011,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,Finance & Insurance,11,"$45,386","$51,129",6,"$85,205","$80,748"
55,Dominguez Hills,1,FTF + FTT,12011,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,"Professional, Scientific, & Technical Skills",11,"$53,980","$55,787",5,"$67,283","$59,942"
55,Dominguez Hills,1,FTF + FTT,12011,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,Admin & Support & Waste Mgmt & Remediation,19,"$43,155","$46,562",6,"$123,721","$103,898"
55,Dominguez Hills,1,FTF + FTT,12011,Educational Services,37,"$55,086","$56,245",15,"$61,950","$66,626"
55,Dominguez Hills,1,FTF + FTT,12011,Health Care & Social Assistance,150,"$72,661","$77,229",81,"$100,570","$93,115"
55,Dominguez Hills,1,FTF + FTT,12011,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,12011,Government,18,"$69,422","$72,189",9,"$70,145","$79,048"
55,Dominguez Hills,1,FTF + FTT,12011,No Wages,534,,,707,,
55,Dominguez Hills,1,FTF + FTT,12011,Wages - No NAICS Code,20,"$3,076","$15,904",8,"$5,843","$13,121"
55,Dominguez Hills,1,FTF + FTT,12081,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,12081,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,12081,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,12081,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,12081,Educational Services,8,"$78,886","$77,343",12,"$83,966","$75,675"
55,Dominguez Hills,1,FTF + FTT,12081,Health Care & Social Assistance,58,"$69,975","$68,669",51,"$88,839","$82,013"
55,Dominguez Hills,1,FTF + FTT,12081,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,12081,Government,8,"$92,030","$84,257",7,"$91,114","$88,611"
55,Dominguez Hills,1,FTF + FTT,12081,No Wages,26,,,30,,
55,Dominguez Hills,1,FTF + FTT,12081,Wages - No NAICS Code,5,"$11,813","$10,782",,,
55,Dominguez Hills,1,FTF + FTT,12231 + 12232,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,12231 + 12232,Wholesale Trade,,,,,,
